count	before	after	example
3466	ea	ya	Thuto ea 1 · Ho Ithuta ho Mamela — tloaelo ea
1035	oa	wa	oa hau: ho hola kamanong e phelang le Mo
968	lentsoe	lentswe	lelang, limphong tsa Hae, le ho utloeng lentsoe la Molimo. Tsohle tse tharo li h
595	'me	mme	Moya o Halalelang o se o phela ho uena, 'me o
457	Molimo	Modimo	Thuto ea 1 · Ho Utloa Lentsoe la Molimo
452	li	di	eng lentsoe la Molimo. Tsohle tse tharo li hola motso o le mong — tloaelo ea ho
450	joalo	jwalo	Ha ho joalo — bala hape §3. Tlhahlobo ea Lengo
398	'ngoe	nngwe	tsoeng hape ka 'nete o na le potso e le 'ngoe feela: Nka hola joang tsamaisong e
362	holim'a	hodima	lalelang / prophetic-school. E thehiloe holim'a
298	utloa	utlwa	— tloaelo ea letsatsi le letsatsi ea ho utloa Moya o Halalelang
282	'nete	nnete	e mong le e mong ea tsoetsoeng hape ka 'nete o na le potso e le 'ngoe feela: Nk
164	limpho	dimpho	a, ba babe, le tseba ho fa bana ba lona limpho tse molemo, na Ntate oa maholimo
162	khotso	kgotso	Mohlomong u tla utloa thabo le khotso ka hare ho hau, empa leha u sa ut
162	moea	moya	na, kapa ke 'Na? — ho khetholla Moya ho moea oa hau
159	tsoa	tswa	mpho ea batho ba khethehileng moeeng. E tsoa kamanong eo u seng u e-na le eona:
156	tloaelo	tlwaelo	Thuto ea 1 · Ho Ithuta ho Mamela — tloaelo ea letsatsi le letsatsi ea ho ut
155	mantsoe	mantswe	feta metsotsoana e 30. Ebe re khalemela mantsoe ohle a bobe a ka buang le rona,
150	joale	jwale	Haeba u rapetse thapelo ena, joale u tsoetsoe hape 'me u ka bala John
149	Moea	Moya	Moea
121	Lentsoe	Lentswe	Thuto ea 1 · Ho Utloa Lentsoe la Molimo
109	'na	nna	nete, u ka rapela thapelo e latelang le 'na e le hore u kene leetong lena le tha
106	bokhoni	bokgoni	a le Moya o Halalelang, sena se qala ka bokhoni bo le bong: ho khutsa le ho mame
105	tsoang	tswang	Ena ke tloaelo e hlakileng e tsoang thutong ea hau. E le khutšoane ka
101	qotsitsoe	qotsitswe	; Luke 11:13; 1 John 4:1–2 (joalokaha e qotsitsoe temaneng ea thuto). Thuto: W
99	tsamaea	tsamaya	mong oa tloaelo eo u ka o etsang ha u tsamaea ho e-na le ho koala mahlo? Feela
97	seliba	sediba	seliba ka hare
94	lumellana	dumellana	2 · Na e lumellana le
90	mokhoa	mokgwa	olo empa e tebileng eo u ka e hodisang: mokhoa oa ho lula fatše, ho khutsa, le h
90	sebelisa	sebedisa	sebelisa
86	peli	pedi	Joale u na le lintho tse peli tseo u neng u se na le tsona hoseng
86	tšabo	tshabo	sale pele ka sefapano mme, ka lerato le tšabo, a mo kopa hore a se ee teng. O ne
83	Joale	Jwale	"Joale haeba lona, ba babe, le tseba ho f
82	ling	ding	Kaha re ntse re ithuta, ka linako tse ling re tla fosa — ra nka kelello kapa m
80	Mohloli	Mohlodi	Mohloli: Wikus Vorster,
79	khetholla	kgetholla	ka boeona e holisa bokhoni ba hau ba ho khetholla lentsoe la Hae.
78	tloaelehileng	tlwaelehileng	Pelaelo eo ke monyako o tloaelehileng oa ho ithuta bokhoni bona,
69	utloang	utlwang	boitaolo ba oona, empa tsohle tseo a li utloang o tla li bua, 'me o tla le bolel
67	lula	dula	bileng eo u ka e hodisang: mokhoa oa ho lula fatše, ho khutsa, le ho mo utloa —
65	khaolo	kgaolo	("Walking in Power"), khaolo
65	ts'oanang	tshwanang	— u ntse u e beha pel'a litlhahlobo tse ts'oanang:
64	bobeli	bobedi	U ekelitse mpho ea bobeli e lebisitsoeng ka ntle. Boprofeta
60	boitoanyo	boitwanyo	Karolo eo ea ho qetela ke sepheo sa boitoanyo bohle. E koala potoloho — 'me
58	Mehloli	Mehlodi	Mehloli — Lengolo: John 16:13; Luke 11:1
57	live	dive	and pushes live changes into the sandboxed iframe v
57	tšepiso	tshepiso	ula mpho ena eseng ka tlhaloso, empa ka tšepiso — temana e le 'ngoe ea Lengolo e
56	linako	dinako	Kaha re ntse re ithuta, ka linako tse ling re tla fosa — ra nka kel
56	lintho	dintho	Joale u na le lintho tse peli tseo u neng u se na le t
55	khutsitseng	kgutsitseng	sebaka se khutsitseng
54	tsoela	tswela	Hlokomela hore e bohareng e tsoela pele ho Thuto ea 1: Moya
53	joang	jwang	na le potso e le 'ngoe feela: Nka hola joang tsamaisong ea ka le Molimo? Molimo
53	'Me	Mme	hanyetsanang le eona ha e tsoe ho Eena. 'Me thuto e hlakisa hore bona ke bokhoni
52	setšoantšo	setshwantsho	e ua botsa potso ea hau. Joale ho hlaha setšoantšo, mohopolo o fanang ka tsebo e
51	Bokhoni	Bokgoni	Bokhoni bo le bong: tloaelo ea letsatsi
51	tlatsoa	tlatswa	pele — empa joale karolo ea ho qetela e tlatsoa ke
51	cheka	tjheka	cheka gauda e ka hare ho lerole
48	litsela	ditsela	O bua ka litsela tse ngata
48	kholo	kgolo	ne ba nahana hore kutlo e bolela ntho e kholo — ho tlohela mosebetsi, ho fallela
45	tšoanang	tshwanang	Bokhoni bo tšoanang boo u boneng u ntse u bo haha —
44	bohlokoa	bohlokwa	ajeno e shebane le tloaelo ea bophelo e bohlokoa haholo empa e tebileng eo u ka
44	'mele	mmele	mpa haeba ka Moya le bolaea liketso tsa 'mele, le tla phela. Hobane bohle ba
43	beoa	bewa	Ha li beoa pel'a potso ea mohloli, tsena li fe
40	tataisoa	tataiswa	Ho tataisoa ke bophelo bo tloaelehileng ba
40	utloahala	utlwahala	ato la 'nete, bohlale ba botho — o ne o utloahala o kholisa. Empa e ne e s'a ka
39	mohloli	mohlodi	Bokhoni bo le bong: fumana mohloli — moya kapa moea
39	Limpho	Dimpho	Limpho ha li tsoe mohloling o fapaneng o
39	khahlanong	kgahlanong	Testamente ea Khale khahlanong le Testamente e Ncha: ha ho t
39	khale	kgale	ke ea hau, re tla tsamaisa potoloho ea khale —
39	Liketso	Diketso	botlalo. E fana ka mehlala e 'meli. Ho Liketso{{0}}16 lekhabunyane le neng le "
38	lebisitsoeng	lebisitsweng	ha. Ke ho utloa oo u seng u ho etsa, ho lebisitsoeng ho motho e mong ho e-na le
38	meea	meya	ho khetholla meea
37	tichere	titjhere	Ke 'na tichere ea hau — mpotse eng kapa eng.
36	khona	kgona	o utloa Moya o Halalelang haholo, u tla khona ho hlalosa se tsoang kelellong le
36	botšepehi	botshepehi	re etse qeto ka mohato o monyenyane oa botšepehi oo u ka o nkang. Ha u na bon
35	likarolo	dikarolo	tlhahlobo ea likarolo tse tharo
35	kentsoeng	kentsweng	(p.{{0}}23), lisebelisoang tsa hau tse kentsoeng. Bala lethathamo ka botle 'm
34	khutsisa	kgutsisa	2. Ka mor'a ho khutsisa kelello ea hau, tloaelo e re u
34	khafetsa	kgafetsa	tloaelo eo u ka e phetang khafetsa
34	oli	odi	oli
33	ncha	ntjha	Na le senola thuto e ncha
32	tšusumetso	tshusumetso	tšusumetso
32	sesebelisoa	sesebediswa	"Molimo ke sesebelisoa feela sa ho finyella sepheo
32	tšoara	tshwara	aleme le ho tsentsha satellite dish: e "tšoara sesupo se romelloang lefatšeng 'm
30	lulang	dulang	kotsing ea ho fosa; ke ka lebaka leo u lulang u le boikokobetso 'me ua fana, u
30	ikutloa	ikutlwa	goe e ne e le ho botsa batho hore na ba ikutloa joang ka mor'a moo le ho tsoela
29	behiloe	behilwe	E behiloe bakeng sa Thuto ea 2
28	boitšepo	boitshepo	Letšoao le hlakileng ka ho fetisisa — boitšepo bo hokae?
27	fatše	fatshe	g eo u ka e hodisang: mokhoa oa ho lula fatše, ho khutsa, le ho mo utloa — hammo
27	utloe	utlwe	U entsoe hore u utloe
27	lumella	dumella	✓ E nepahetse — mohato oa 5. U mo lumella ho bua mme u lumele seo u se utl
27	lisebelisoang	disebediswang	(pp.{{0}}20–25). E teng lisebelisoang tseo u li kentseng, 'me
27	Ea	Ya	e khothatsang. Fana ka ntho e nyenyane. Ea sebakeng se khutsitseng seo u utloile
27	patiloeng	patilweng	ho e tseba — lebitso, boemo, bohloko bo patiloeng. Bohlale bo u bolella
27	Ncha	Ntjha	soe la tsebo. Boprofeta ba Testamente e Ncha ke lentsoe le fuoang ke Moya bakeng
26	khutsa	kgutsa	sena se qala ka bokhoni bo le bong: ho khutsa le ho mamela.
26	lithuto	dithuto	sumetso, u e beha pel'a litlhahlobo tsa lithuto tse fetileng:
26	sebelisoa	sebediswa	sebelisoa
26	khothatsa	kgothatsa	eo sa lona ka botlalo e leng ho aha, ho khothatsa, le ho tšelisa — le sireledits
26	boemeli	boemedi	ang o leng mobe o etselitsoe thapelo ea boemeli le ho tlisoa tlas'a mali a Jesu.
26	tholoana	tholwana	tsa hore kelello ea hau e se ke ea beha tholoana. Joale u tlameha ho theetsa moe
25	sekhala	sekgala	4. Tlatsa sekhala ho tsoa ho §1: "Sepheo sa limpho
25	itšetlehile	itshetlehile	sang tse ling tsohle — hobane tsohle li itšetlehile ho utloa, 'me ho bua ka male
25	Timothea	Timothya	šabo — thuto e supa taelo ea Pauluse ho Timothea, eo neo ea hae e ileng "ea tsos
24	tšepang	tshepang	e se e le tloaelo e tsitsitseng eo u e tšepang, mohato o latelang oo mosebetsi
24	fanoa	fanwa	Lentsoe la tsebo le fanoa ka
23	lumelle	dumelle	kopa u mphe Moya o Halalelang mme u mo lumelle ho bua le 'na".
23	lumela	dumela	Sehlomathiso ke mohato oa 5 — "lumela seo u se utloang."
23	life	dife	2. Ke life tse tharo tseo mpho ena e li khetho
23	tsamaeang	tsamayang	a ho utloa le maqhubu a eona a mararo a tsamaeang ka ntle. Ho tloha
23	'ne	nne	ohle ea ho utloa le limpho tsa eona tse 'ne. Ho tloha
23	liatla	diatla	(impartation, ho beoa liatla; khaolo{{0}}6). Re tla nka e 'ngo
22	Sesebelisoa	Sesebediswa	Sesebelisoa: John 16:13
22	moeli	moedi	ho ena temaneng e le 'ngoe ebe e bolela moeli oa eona ka mantsoe a hlakileng:
22	holimo	hodimo	atellano e ts'oanang le e temaneng e ka holimo. Mohlala oa thuto ka boeona o ets
22	lisebelisoa	disebediswa	e limpho tsa matla tseo thuto ea hau le lisebelisoa tsa hau li li bulang ho late
22	khutlela	kgutlela	Ho khutlela
21	Tloaelo	Tlwaelo	Tloaelo — mehato e supileng ea ho utloa
21	tloaelehang	tlwaelehang	elehileng ba Mokreste — eseng mpho e sa tloaelehang. Empa hore u
21	botšelela	botshelela	Mohato oa botšelela
